streetname,fromstreetname,tostreetname,sci,num_of_uplifts,maintenance_suggestion,estimated_cost,repair_priority,functional_class,functional_class_id,surface_type,survey_date,width_ft,length_ft,area_sy,sci_2023,sw_id,begin_width,end_width,avg_width,nu_of_distresses,num_crack_minor,num_crack_moderate,num_crack_severe,num_grass_present,num_surface_distortion_minor,num_surface_distortion_mod,num_surface_distortion_severe,num_uplift_general_minor,num_uplift_general_moderate,num_uplift_general_severe,num_uplift_tree_minor,num_uplift_tree_moderate,num_uplift_tree_severe,num_utility_hazard_present,left_bound_long,right_bound_long,down_bound_lat,up_bound_lat
W COLFAX AVE,Woodward Ct,Main St,74,3,Defer Maintenance,0,54.44803206,Minor Arterial,4,Concrete,August 2023,10.5,127,148.1699982,74,5851,10.5,10.5,10.5,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,-86.251962,-86.251256,41.677677,41.677726
E COLFAX AVE,Gintz Ave,Niles Ave,38,8,Reconstruction,96063,60.40958735,Minor Arterial,4,Concrete,August 2023,6.38000011,371,262.7900085,38,7032,6.25,6.5,6.375,31,6,3,4,0,3,3,4,0,2,1,0,1,4,0,-86.24587,-86.244373,41.677682,41.677744
E COLFAX AVE,Michigan St,St. Joseph St,57,3,Reconstruction,72759,56.11954524,Minor Arterial,4,Concrete,August 2023,10,281,312.2200012,57,7306,10,10,10,22,6,0,0,0,13,0,0,3,0,0,0,0,0,0,-86.250392,-86.249133,41.677708,41.677757
E LASALLE AVE,Sycamore St,Niles Ave,87,1,Defer Maintenance,0,29.3435564,Principal Arterial,3,Concrete,August 2023,7.25,741,596.9199829,87,7307,7.25,7.25,7.25,11,2,4,0,0,0,4,0,0,0,0,0,0,0,1,-86.247249,-86.244381,41.679044,41.679143
W LASALLE AVE,St. Joseph St,Main St,56,10,Reconstruction,85188,49.74533908,Principal Arterial,3,Concrete,August 2023,7.38000011,329,269.6000061,56,7378,7.25,7.5,7.375,28,8,0,0,0,10,0,0,9,1,0,0,0,0,0,-86.251935,-86.250524,41.678931,41.679061
N NILES AVE,Colfax Ave,LaSalle Ave,50,10,Reconstruction,114965,60.07927458,Major Collector,5,Concrete,August 2023,13.61999989,444,672.1699829,50,7459,13.25,14,13.625,21,3,3,1,0,0,3,1,0,4,4,0,2,0,0,-86.244435,-86.244296,41.677842,41.679141
W COLFAX AVE,Michigan St,Woodward Ct,60,5,Reconstruction,44018,58.1584981,Minor Arterial,4,Concrete,August 2023,13.61999989,170,257.3599853,60,7726,13.25,14,13.625,10,2,0,0,0,3,0,0,4,0,0,0,0,0,1,-86.251241,-86.250415,41.677666,41.677743
E LASALLE AVE,Bridge Deck,Sycamore St,92,4,Defer Maintenance,0,27.10019889,Principal Arterial,3,Concrete,August 2023,10,754,837.7800293,92,7849,10,10,10,15,7,0,0,0,4,0,0,2,0,0,2,0,0,0,-86.250318,-86.247303,41.678965,41.679115
N MAIN ST,Colfax Ave,Lasalle Ave,18,48,Reconstruction,112117,70.54982835,Collector,5,Concrete,August 2023,7.11999989,433,342.7900085,18,16464,7.25,7,7.125,55,4,0,0,0,3,0,0,36,9,0,2,0,0,1,-86.251978,-86.251927,41.677726,41.679015
E COLFAX AVE,St. Joseph St,Gintz Ave,68,20,Defer Maintenance,0,43.73828083,Collector,5,Concrete,August 2023,5.5,816,498.6700134,68,7033,5.5,5.5,5.5,47,8,4,0,0,13,2,0,3,1,0,15,1,0,0,-86.248991,-86.245899,41.677662,41.677743
