streetname,num_of_uplifts,maintenance_suggestion,repair_priority,surface_type,length_ft,area_sy,sci_2023,sw_id,avg_width,num_of_distresses,bufferwidth_avg,num_crack_minor,num_crack_moderate,num_crack_severe,num_grass_present,num_surface_distortion_minor,num_surface_distortion_mod,num_surface_distortion_severe,num_uplift_general_minor,num_uplift_general_moderate,num_uplift_general_severe,num_uplift_tree_minor,num_uplift_tree_moderate,num_uplift_tree_severe,num_utility_hazard_present,avg_stress_lvl_Dummy
SYLVAN LN,5,Defer Maintenance,73.45027377,Concrete,189,126,61,1001,6,9,,2,0,0,2,0,0,0,3,2,0,0,0,0,0,
FORD ST,41,Reconstruction,85.22426889,Concrete,297,198,1,1002,6,56,,9,1,0,0,5,0,0,9,12,19,0,1,0,0,
W MONROE ST,32,Reconstruction,75.04590413,Concrete,637,389.2799988,18,1003,5.5,91,,20,9,0,6,15,9,0,2,5,18,0,0,7,0,
W MONROE ST,33,Reconstruction,81.44801017,Concrete,498,677.8300171,14,1004,12.25,46,,8,0,0,1,4,0,0,2,9,15,0,0,7,0,
W MONROE ST,19,Reconstruction,71.71138753,Concrete,639,426,27,1005,6,93,,20,12,0,15,15,12,0,0,3,13,0,2,1,0,
HURON ST,0,Reconstruction,92.22972973,Concrete,327,163.5,0,1006,4.5,0,,,,,,,,,,,,,,,,
W CALVERT ST,6,Reconstruction,81.90147146,Concrete,191,95.5,37,1007,4.5,11,,2,1,0,1,0,1,0,0,1,1,0,0,4,0,
W MAGYAR CT,0,Reconstruction,94.37741313,Concrete,238,122.3099976,0,1008,4.625,0,,,,,,,,,,,,,,,,
S BROOKFIELD ST,47,Reconstruction,83.66574113,Concrete,431,245.4299927,10,1009,5.125,69,,15,0,0,2,5,0,0,22,22,2,0,1,0,0,
W EWING AVE,25,Reconstruction,72.78750863,Concrete,293,154.6399994,7,1010,4.75,47,,6,7,0,0,2,7,0,0,6,3,0,1,15,0,
W EWING AVE,13,Reconstruction,70.66026084,Concrete,295,147.5,10,1011,4.5,75,,15,18,0,0,11,18,0,0,5,1,0,3,4,0,
S WALNUT ST,21,Reconstruction,60.94366047,Concrete,483,275.0400085,39,1012,5.125,80,,29,3,0,0,24,3,0,14,1,0,6,0,0,0,
DUBAIL AVE,57,Reconstruction,87.50829095,Concrete,325,162.5,6,1013,4.5,73,,5,0,0,6,5,0,0,45,10,1,1,0,0,0,
DUBAIL AVE,50,Reconstruction,86.8289196,Concrete,341,170.5,4,1014,4.5,101,,19,4,0,2,22,4,0,27,21,2,0,0,0,0,
SWYGART ST,23,Reconstruction,85.37316554,Concrete,317,193.7200012,10,1015,5.5,98,,20,16,0,5,18,16,0,21,2,0,0,0,0,0,
SWYGART ST,55,Reconstruction,80.92058683,Concrete,485,323.3299866,9,1016,6,119,,20,7,0,15,15,7,0,31,15,7,2,0,0,0,
SWYGART ST,8,Reconstruction,87.27266759,Concrete,519,331.5799866,0,1017,5.75,9,,0,0,0,0,1,0,0,0,0,0,3,3,2,0,
S ARNOLD ST,31,Reconstruction,75.14932214,Concrete,614,349.6400147,24,1018,5.125,44,,6,2,0,1,2,2,0,7,13,10,0,0,1,0,
W CALVERT ST,17,Reconstruction,79.63773912,Concrete,280,318.8900147,34,1019,10.25,44,,14,0,0,0,13,0,0,15,1,0,0,0,0,1,
S CARLISLE ST,32,Reconstruction,88.66709053,Concrete,246,109.3300018,9,1020,4,64,,13,0,0,6,13,0,0,22,10,0,0,0,0,0,
W INDIANA AVE,18,Reconstruction,79.81588506,Concrete,320,142.2200012,31,1021,4,42,,12,0,0,0,11,1,0,5,1,0,6,1,5,0,
W MAGYAR CT,31,Reconstruction,88.54352869,Concrete,244,115.2200012,12,1022,4.25,39,,5,0,0,0,3,0,0,24,2,3,0,0,2,0,
DUBAIL AVE,26,Reconstruction,81.73807173,Concrete,324,162,19,1023,4.5,105,,14,6,0,40,13,6,0,20,4,0,1,0,0,1,
S ARNOLD ST,1,Reconstruction,84.88232205,Concrete,137,60.88999939,32,1024,4,14,,1,5,0,0,2,5,0,0,0,1,0,0,0,0,
S WALNUT ST,86,Reconstruction,64.38135193,Concrete,650,361.1099853,6,1025,5,200,,38,17,0,3,39,17,0,55,24,5,2,0,0,0,
FORD ST,8,Reconstruction,73.51606644,Concrete,241,133.8899994,42,1026,5,12,,3,0,0,0,1,0,0,4,1,3,0,0,0,0,
